Cleaning,Tokenizing,Normalization,Stopword_Removal,Stemming,Sentimen
jangan lupa utk mengucapkan syukur kepada tuhan ketika selesai daringbelajar atas apa yang kita telah kita pahami meskipun sedikit karena bisa jadi ketidakpahaman kita akan suatu pelajaran dikarenakan kurangnya rasa syukur kita kepada hal kecil,"['jangan', 'lupa', 'utk', 'mengucapkan', 'syukur', 'kepada', 'tuhan', 'ketika', 'selesai', 'daringbelajar', 'atas', 'apa', 'yang', 'kita', 'telah', 'kita', 'pahami', 'meskipun', 'sedikit', 'karena', 'bisa', 'jadi', 'ketidakpahaman', 'kita', 'akan', 'suatu', 'pelajaran', 'dikarenakan', 'kurangnya', 'rasa', 'syukur', 'kita', 'kepada', 'hal', 'kecil']","['jangan', 'lupa', 'untuk', 'mengucapkan', 'syukur', 'kepada', 'tuhan', 'ketika', 'selesai', 'daring belajar', 'atas', 'apa', 'yang', 'kita', 'telah', 'kita', 'pahami', 'meskipun', 'sedikit', 'karena', 'bisa', 'jadi', 'ketidakpahaman', 'kita', 'akan', 'suatu', 'pelajaran', 'dikarenakan', 'kurangnya', 'rasa', 'syukur', 'kita', 'kepada', 'hal', 'kecil']","['lupa', 'syukur', 'tuhan', 'selesai', 'daring belajar', 'pahami', 'ketidakpahaman', 'pelajaran', 'kurangnya', 'syukur']","['lupa', 'syukur', 'tuhan', 'selesai', 'daring ajar', 'paham', 'ketidakpahaman', 'ajar', 'kurang', 'syukur']",-1
daring oh daring setahun sudah belajar tiap hari di rumah tahutahu lulus saja diterima jadi mahasiswa tempat duduk sma dan universitas tak ada bedanya tetap meja dan kursi di pojok kamarnya id rattyirt bogor,"['daring', 'oh', 'daring', 'setahun', 'sudah', 'belajar', 'tiap', 'hari', 'di', 'rumah', 'tahutahu', 'lulus', 'saja', 'diterima', 'jadi', 'mahasiswa', 'tempat', 'duduk', 'sma', 'dan', 'universitas', 'tak', 'ada', 'bedanya', 'tetap', 'meja', 'dan', 'kursi', 'di', 'pojok', 'kamarnya', 'id', 'rattyirt', 'bogor']","['daring', 'oh', 'daring', 'setahun', 'sudah', 'belajar', 'tiap', 'hari', 'di', 'rumah', 'tahutahu', 'lulus', 'saja', 'diterima', 'jadi', 'mahasiswa', 'tempat', 'duduk', 'sama', 'dan', 'universitas', 'tidak', 'ada', 'bedanya', 'tetap', 'meja', 'dan', 'kursi', 'di', 'pojok', 'kamarnya', 'id', 'rattyirt', 'bogor']","['oh', 'setahun', 'rumah', 'tahutahu', 'lulus', 'diterima', 'mahasiswa', 'duduk', 'universitas', 'bedanya', 'meja', 'kursi', 'pojok', 'kamarnya', 'id', 'rattyirt', 'bogor']","['oh', 'tahun', 'rumah', 'tahutahu', 'lulus', 'terima', 'mahasiswa', 'duduk', 'universitas', 'beda', 'meja', 'kursi', 'pojok', 'kamar', 'id', 'rattyirt', 'bogor']",-1
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap hari tag,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'hari', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'tag']",-1
membuat pc abalabal dengan tema jejermanan,"['membuat', 'pc', 'abalabal', 'dengan', 'tema', 'jejermanan']","['membuat', 'pc', 'abalabal', 'dengan', 'tema', 'jejermanan']","['pc', 'abalabal', 'tema', 'jejermanan']","['pc', 'abalabal', 'tema', 'jejermanan']",-1
anakku memang masih belajar secara daring dan gak ada masalah kalau kamu pengen anakmu sekolah tatap muka sementara sekolah masih tutup ya udah sekolah sendiri aja,"['anakku', 'memang', 'masih', 'belajar', 'secara', 'daring', 'dan', 'gak', 'ada', 'masalah', 'kalau', 'kamu', 'pengen', 'anakmu', 'sekolah', 'tatap', 'muka', 'sementara', 'sekolah', 'masih', 'tutup', 'ya', 'udah', 'sekolah', 'sendiri', 'aja']","['anakku', 'memang', 'masih', 'belajar', 'secara', 'daring', 'dan', 'tidak', 'ada', 'masalah', 'kalau', 'kamu', 'ingin', 'anakmu', 'sekolah', 'tatap', 'muka', 'sementara', 'sekolah', 'masih', 'tutup', 'iya', 'sudah', 'sekolah', 'sendiri', 'saja']","['anakku', 'anakmu', 'tatap', 'muka', 'tutup']","['anak', 'anak', 'tatap', 'muka', 'tutup']",-1
nitip ya gus buat yg butuh belajar bhs inggris private dan daring bisa hubungi nomor di bawah ini cocok buat yg baru mau belajar mau memperlancar atau pun persiapan buat toefl dan nulis essay,"['nitip', 'ya', 'gus', 'buat', 'yg', 'butuh', 'belajar', 'bhs', 'inggris', 'private', 'dan', 'daring', 'bisa', 'hubungi', 'nomor', 'di', 'bawah', 'ini', 'cocok', 'buat', 'yg', 'baru', 'mau', 'belajar', 'mau', 'memperlancar', 'atau', 'pun', 'persiapan', 'buat', 'toefl', 'dan', 'nulis', 'essay']","['nitip', 'iya', 'gus', 'buat', 'yang', 'butuh', 'belajar', 'bahasa', 'inggris', 'private', 'dan', 'daring', 'bisa', 'hubungi', 'nomor', 'di', 'bawah', 'ini', 'cocok', 'buat', 'yang', 'baru', 'mau', 'belajar', 'mau', 'memperlancar', 'atau', 'juga', 'persiapan', 'buat', 'toefl', 'dan', 'nulis', 'essay']","['nitip', 'gus', 'butuh', 'bahasa', 'inggris', 'private', 'hubungi', 'nomor', 'cocok', 'memperlancar', 'persiapan', 'toefl', 'nulis', 'essay']","['nitip', 'gus', 'butuh', 'bahasa', 'inggris', 'private', 'hubung', 'nomor', 'cocok', 'lancar', 'siap', 'toefl', 'nulis', 'essay']",1
ada gak sih sekolah kalian yang nanyain atau buat angket gitu tentang keluh kesah selama daring bukan masalah internet aja yaa kek tugas banyak atau sering mendadak dikasih tugas atau dikasi tahu ulangan,"['ada', 'gak', 'sih', 'sekolah', 'kalian', 'yang', 'nanyain', 'atau', 'buat', 'angket', 'gitu', 'tentang', 'keluh', 'kesah', 'selama', 'daring', 'bukan', 'masalah', 'internet', 'aja', 'yaa', 'kek', 'tugas', 'banyak', 'atau', 'sering', 'mendadak', 'dikasih', 'tugas', 'atau', 'dikasi', 'tahu', 'ulangan']","['ada', 'tidak', 'sih', 'sekolah', 'kalian', 'yang', 'nanyain', 'atau', 'buat', 'angket', 'begitu', 'tentang', 'keluh', 'kesah', 'selama', 'daring', 'bukan', 'masalah', 'internet', 'saja', 'iya', 'seperti', 'tugas', 'banyak', 'atau', 'sering', 'mendadak', 'dikasih', 'tugas', 'atau', 'dikasi', 'tahu', 'ulangan']","['sih', 'nanyain', 'angket', 'keluh', 'kesah', 'internet', 'tugas', 'mendadak', 'dikasih', 'tugas', 'dikasi', 'ulangan']","['sih', 'nanyain', 'angket', 'keluh', 'kesah', 'internet', 'tugas', 'dadak', 'kasih', 'tugas', 'kasi', 'ulang']",1
gak tau gimana sih tapi kok mahaaaal banget dan dia kaget harus bayar penuh padahal sistem kuliah masih daring dan keluarga dia juga termasuk golongan menengah ke bawah awalnya dia berat hati tapi akhirnya mutusin untuk lanjut setelah sy yakinkan,"['gak', 'tau', 'gimana', 'sih', 'tapi', 'kok', 'mahaaaal', 'banget', 'dan', 'dia', 'kaget', 'harus', 'bayar', 'penuh', 'padahal', 'sistem', 'kuliah', 'masih', 'daring', 'dan', 'keluarga', 'dia', 'juga', 'termasuk', 'golongan', 'menengah', 'ke', 'bawah', 'awalnya', 'dia', 'berat', 'hati', 'tapi', 'akhirnya', 'mutusin', 'untuk', 'lanjut', 'setelah', 'sy', 'yakinkan']","['tidak', 'tahu', 'bagaimana', 'sih', 'tapi', 'kok', 'mahaaaal', 'sekali', 'dan', 'dia', 'kaget', 'harus', 'bayar', 'penuh', 'padahal', 'sistem', 'kuliah', 'masih', 'daring', 'dan', 'keluarga', 'dia', 'juga', 'termasuk', 'golongan', 'menengah', 'ke', 'bawah', 'awalnya', 'dia', 'berat', 'hati', 'tapi', 'akhirnya', 'mutusin', 'untuk', 'lanjut', 'setelah', 'saya', 'yakinkan']","['sih', 'mahaaaal', 'kaget', 'bayar', 'penuh', 'sistem', 'keluarga', 'golongan', 'menengah', 'berat', 'hati', 'mutusin', 'yakinkan']","['sih', 'mahaaaal', 'kaget', 'bayar', 'penuh', 'sistem', 'keluarga', 'golong', 'tengah', 'berat', 'hati', 'mutusin', 'yakin']",-1
survey ini ditujukan kepada seluruh siswa yang masih duduk di bangku sekolah dan mengalami pembelajaran daring respon dari kalian sangat berarti bagi kami kami juga menjaga privasi atau data pribadimu sebaik mungkin tanpa menyebarkannya dalam bentuk apapun karena form,"['survey', 'ini', 'ditujukan', 'kepada', 'seluruh', 'siswa', 'yang', 'masih', 'duduk', 'di', 'bangku', 'sekolah', 'dan', 'mengalami', 'pembelajaran', 'daring', 'respon', 'dari', 'kalian', 'sangat', 'berarti', 'bagi', 'kami', 'kami', 'juga', 'menjaga', 'privasi', 'atau', 'data', 'pribadimu', 'sebaik', 'mungkin', 'tanpa', 'menyebarkannya', 'dalam', 'bentuk', 'apapun', 'karena', 'form']","['survey', 'ini', 'ditujukan', 'kepada', 'seluruh', 'siswa', 'yang', 'masih', 'duduk', 'di', 'bangku', 'sekolah', 'dan', 'mengalami', 'pembelajaran', 'daring', 'respon', 'dari', 'kalian', 'sangat', 'berarti', 'bagi', 'kami', 'kami', 'juga', 'menjaga', 'privasi', 'atau', 'data', 'pribadimu', 'sebaik', 'mungkin', 'tanpa', 'menyebarkannya', 'dalam', 'bentuk', 'apapun', 'karena', 'form']","['survey', 'siswa', 'duduk', 'bangku', 'mengalami', 'pembelajaran', 'respon', 'menjaga', 'privasi', 'data', 'pribadimu', 'menyebarkannya', 'bentuk', 'apapun', 'form']","['survey', 'siswa', 'duduk', 'bangku', 'alami', 'ajar', 'respon', 'jaga', 'privasi', 'data', 'pribadi', 'sebar', 'bentuk', 'apa', 'form']",1
sekolah kuy bosen daring,"['sekolah', 'kuy', 'bosen', 'daring']","['sekolah', 'kuy', 'bosan', 'daring']","['kuy', 'bosan']","['kuy', 'bosan']",-1
menurutku ya gapapa mending sekolah dgn patuhi prokes aja dari pada kita daring eh sekolah sebelah bunting daring jg bikin gapaham maateri pelajaran jg asdghjll,"['menurutku', 'ya', 'gapapa', 'mending', 'sekolah', 'dgn', 'patuhi', 'prokes', 'aja', 'dari', 'pada', 'kita', 'daring', 'eh', 'sekolah', 'sebelah', 'bunting', 'daring', 'jg', 'bikin', 'gapaham', 'maateri', 'pelajaran', 'jg', 'asdghjll']","['menurutku', 'iya', 'tidak apa apa', 'lebih baik', 'sekolah', 'dengan', 'patuhi', 'protokol kesehatan', 'saja', 'dari', 'pada', 'kita', 'daring', 'eh', 'sekolah', 'sebelah', 'bunting', 'daring', 'juga', 'membuat', 'tidak paham', 'maateri', 'pelajaran', 'juga', 'asdghjll']","['menurutku', 'tidak apa apa', 'lebih baik', 'patuhi', 'protokol kesehatan', 'eh', 'sebelah', 'bunting', 'tidak paham', 'maateri', 'pelajaran', 'asdghjll']","['turut', 'tidak apa apa', 'lebih baik', 'patuh', 'protokol sehat', 'eh', 'belah', 'bunting', 'tidak paham', 'maateri', 'ajar', 'asdghjll']",1
semangatnya luar biasa horor korona di banjarmasin tak punya akses internet siswi smkn ini sendiri ke sekolah ujian daring,"['semangatnya', 'luar', 'biasa', 'horor', 'korona', 'di', 'banjarmasin', 'tak', 'punya', 'akses', 'internet', 'siswi', 'smkn', 'ini', 'sendiri', 'ke', 'sekolah', 'ujian', 'daring']","['semangatnya', 'luar', 'biasa', 'horor', 'corona', 'di', 'banjarmasin', 'tidak', 'punya', 'akses', 'internet', 'siswi', 'smkn', 'ini', 'sendiri', 'ke', 'sekolah', 'ujian', 'daring']","['semangatnya', 'horor', 'corona', 'banjarmasin', 'akses', 'internet', 'siswi', 'smkn', 'ujian']","['semangat', 'horor', 'corona', 'banjarmasin', 'akses', 'internet', 'siswi', 'smkn', 'uji']",1
udah tapi di bagi sesi mls bgt ke sekolah enak daring,"['udah', 'tapi', 'di', 'bagi', 'sesi', 'mls', 'bgt', 'ke', 'sekolah', 'enak', 'daring']","['sudah', 'tapi', 'di', 'bagi', 'sesi', 'malas', 'sekali', 'ke', 'sekolah', 'enak', 'daring']","['sesi', 'malas', 'enak']","['sesi', 'malas', 'enak']",1
pada dasarnya sekolah kuliah dan bekerja secara daring ini sangatlah membosankan,"['pada', 'dasarnya', 'sekolah', 'kuliah', 'dan', 'bekerja', 'secara', 'daring', 'ini', 'sangatlah', 'membosankan']","['pada', 'dasarnya', 'sekolah', 'kuliah', 'dan', 'bekerja', 'secara', 'daring', 'ini', 'sangatlah', 'membosankan']","['dasarnya', 'membosankan']","['dasar', 'bosan']",-1
dari pagi daring kuliah ditambah ngezoom kerja yuk semangat yukk pastii bisaa,"['dari', 'pagi', 'daring', 'kuliah', 'ditambah', 'ngezoom', 'kerja', 'yuk', 'semangat', 'yukk', 'pastii', 'bisaa']","['dari', 'pagi', 'daring', 'kuliah', 'ditambah', 'ngezoom', 'kerja', 'ayo', 'semangat', 'yuk', 'pastii', 'bisaa']","['pagi', 'ditambah', 'ngezoom', 'kerja', 'ayo', 'semangat', 'yuk', 'pastii', 'bisaa']","['pagi', 'tambah', 'ngezoom', 'kerja', 'ayo', 'semangat', 'yuk', 'pasti', 'bisaa']",1
khan emang lebih sehat kalo sekolah daring anak bahagia ndak ada cluster mabar khan keputusan jempol pokoke sekolah online ini,"['khan', 'emang', 'lebih', 'sehat', 'kalo', 'sekolah', 'daring', 'anak', 'bahagia', 'ndak', 'ada', 'cluster', 'mabar', 'khan', 'keputusan', 'jempol', 'pokoke', 'sekolah', 'online', 'ini']","['kan', 'memang', 'lebih', 'sehat', 'kalau', 'sekolah', 'daring', 'anak', 'bahagia', 'tidak', 'ada', 'cluster', 'bermain bersama', 'kan', 'keputusan', 'jempol', 'pokoke', 'sekolah', 'online', 'ini']","['sehat', 'anak', 'bahagia', 'cluster', 'bermain bersama', 'keputusan', 'jempol', 'pokoke', 'online']","['sehat', 'anak', 'bahagia', 'cluster', 'main sama', 'putus', 'jempol', 'pokoke', 'online']",1
belajar masak dari kursus daring adalah sebuah investasi yang tidak siasia kok tapi beda cerita kalau tidak ada hasil yang patut dibanggakan,"['belajar', 'masak', 'dari', 'kursus', 'daring', 'adalah', 'sebuah', 'investasi', 'yang', 'tidak', 'siasia', 'kok', 'tapi', 'beda', 'cerita', 'kalau', 'tidak', 'ada', 'hasil', 'yang', 'patut', 'dibanggakan']","['belajar', 'masak', 'dari', 'kursus', 'daring', 'adalah', 'sebuah', 'investasi', 'yang', 'tidak', 'siasia', 'kok', 'tapi', 'beda', 'cerita', 'kalau', 'tidak', 'ada', 'hasil', 'yang', 'patut', 'dibanggakan']","['masak', 'kursus', 'investasi', 'siasia', 'beda', 'cerita', 'hasil', 'patut', 'dibanggakan']","['masak', 'kursus', 'investasi', 'siasia', 'beda', 'cerita', 'hasil', 'patut', 'bangga']",1
