Cleaning,Tokenizing,Normalization,Stopword_Removal,Stemming,Sentimen
karna ke bantu sama sekolah daring guru ingetin mulu kalo ada tugas dan kalo ada murid yang egak ngerjain tugas tetep aja di ingetin beda kalo udah offline,"['karna', 'ke', 'bantu', 'sama', 'sekolah', 'daring', 'guru', 'ingetin', 'mulu', 'kalo', 'ada', 'tugas', 'dan', 'kalo', 'ada', 'murid', 'yang', 'egak', 'ngerjain', 'tugas', 'tetep', 'aja', 'di', 'ingetin', 'beda', 'kalo', 'udah', 'offline']","['karena', 'ke', 'bantu', 'sama', 'sekolah', 'daring', 'guru', 'ingetin', 'melulu', 'kalau', 'ada', 'tugas', 'dan', 'kalau', 'ada', 'murid', 'yang', 'egak', 'mengerjakan', 'tugas', 'tetep', 'saja', 'di', 'ingetin', 'beda', 'kalau', 'sudah', 'offline']","['bantu', 'guru', 'ingetin', 'melulu', 'tugas', 'murid', 'egak', 'tugas', 'tetep', 'ingetin', 'beda', 'offline']","['bantu', 'guru', 'ingetin', 'melulu', 'tugas', 'murid', 'egak', 'tugas', 'tetep', 'ingetin', 'beda', 'offline']",1
ga setuju nadiem dicopot gebrakan beliau itu bagus bgt di jangka panjang di saat kondisi normal kondisi skrng mah mau gimana pun pasti susah namanya belajar daring kalau beliau diganti dng yg kolot mnrt sya blunder seorg jokowi knp mau sma yg muda yg punya gbrkan radikal,"['ga', 'setuju', 'nadiem', 'dicopot', 'gebrakan', 'beliau', 'itu', 'bagus', 'bgt', 'di', 'jangka', 'panjang', 'di', 'saat', 'kondisi', 'normal', 'kondisi', 'skrng', 'mah', 'mau', 'gimana', 'pun', 'pasti', 'susah', 'namanya', 'belajar', 'daring', 'kalau', 'beliau', 'diganti', 'dng', 'yg', 'kolot', 'mnrt', 'sya', 'blunder', 'seorg', 'jokowi', 'knp', 'mau', 'sma', 'yg', 'muda', 'yg', 'punya', 'gbrkan', 'radikal']","['tidak', 'setuju', 'nadiem', 'dicopot', 'gebrakan', 'beliau', 'itu', 'bagus', 'sekali', 'di', 'jangka', 'panjang', 'di', 'saat', 'kondisi', 'normal', 'kondisi', 'skrng', 'sih', 'mau', 'bagaimana', 'juga', 'pasti', 'susah', 'namanya', 'belajar', 'daring', 'kalau', 'beliau', 'diganti', 'dng', 'yang', 'kolot', 'mnrt', 'saya', 'blunder', 'seorg', 'jokowi', 'kenapa', 'mau', 'sama', 'yang', 'muda', 'yang', 'punya', 'gbrkan', 'radikal']","['setuju', 'nadiem', 'dicopot', 'gebrakan', 'beliau', 'bagus', 'jangka', 'kondisi', 'normal', 'kondisi', 'skrng', 'sih', 'susah', 'namanya', 'beliau', 'diganti', 'dng', 'kolot', 'mnrt', 'blunder', 'seorg', 'jokowi', 'muda', 'gbrkan', 'radikal']","['tuju', 'nadiem', 'copot', 'gebrak', 'beliau', 'bagus', 'jangka', 'kondisi', 'normal', 'kondisi', 'skrng', 'sih', 'susah', 'nama', 'beliau', 'ganti', 'dng', 'kolot', 'mnrt', 'blunder', 'seorg', 'jokowi', 'muda', 'gbrkan', 'radikal']",-1
samawa ya ros,"['samawa', 'ya', 'ros']","['samawa', 'iya', 'ros']","['samawa', 'ros']","['samawa', 'ros']",1
menurut ku sih tanggung jawab nya lebih gede daripada di smp kalo daring bisa aja turun ke sekolah gitu,"['menurut', 'ku', 'sih', 'tanggung', 'jawab', 'nya', 'lebih', 'gede', 'daripada', 'di', 'smp', 'kalo', 'daring', 'bisa', 'aja', 'turun', 'ke', 'sekolah', 'gitu']","['menurut', 'ku', 'sih', 'tanggung', 'jawab', 'nya', 'lebih', 'besar', 'dari pada', 'di', 'smp', 'kalau', 'daring', 'bisa', 'saja', 'turun', 'ke', 'sekolah', 'begitu']","['ku', 'sih', 'tanggung', 'nya', 'dari pada', 'smp', 'turun']","['ku', 'sih', 'tanggung', 'nya', 'dari pada', 'smp', 'turun']",1
kuliah daring absen doang gada yg masuk,"['kuliah', 'daring', 'absen', 'doang', 'gada', 'yg', 'masuk']","['kuliah', 'daring', 'absen', 'saja', 'tidak ada', 'yang', 'masuk']","['absen', 'tidak ada', 'masuk']","['absen', 'tidak ada', 'masuk']",-1
bahasa yg dipakai dalam buku ajarpun make bahasa baku yg jarang didenger sm anak apalagi skrng jamannya sekolah daring guru cuma sebatas kasih link pembelajaran lewat youtube trus akhirannya dikasih tugas pdhl anak klo dikasih video pembelajaran cepet bosen,"['bahasa', 'yg', 'dipakai', 'dalam', 'buku', 'ajarpun', 'make', 'bahasa', 'baku', 'yg', 'jarang', 'didenger', 'sm', 'anak', 'apalagi', 'skrng', 'jamannya', 'sekolah', 'daring', 'guru', 'cuma', 'sebatas', 'kasih', 'link', 'pembelajaran', 'lewat', 'youtube', 'trus', 'akhirannya', 'dikasih', 'tugas', 'pdhl', 'anak', 'klo', 'dikasih', 'video', 'pembelajaran', 'cepet', 'bosen']","['bahasa', 'yang', 'dipakai', 'dalam', 'buku', 'ajarpun', 'menggunakan', 'bahasa', 'baku', 'yang', 'jarang', 'didenger', 'sama', 'anak', 'apalagi', 'skrng', 'jamannya', 'sekolah', 'daring', 'guru', 'cuma', 'sebatas', 'kasih', 'link', 'pembelajaran', 'lewat', 'youtube', 'terus', 'akhirannya', 'dikasih', 'tugas', 'padahal', 'anak', 'kalau', 'dikasih', 'video', 'pembelajaran', 'cepat', 'bosan']","['bahasa', 'dipakai', 'buku', 'ajarpun', 'bahasa', 'baku', 'jarang', 'didenger', 'anak', 'skrng', 'jamannya', 'guru', 'sebatas', 'kasih', 'link', 'pembelajaran', 'youtube', 'akhirannya', 'dikasih', 'tugas', 'anak', 'dikasih', 'video', 'pembelajaran', 'cepat', 'bosan']","['bahasa', 'pakai', 'buku', 'ajar', 'bahasa', 'baku', 'jarang', 'didenger', 'anak', 'skrng', 'jaman', 'guru', 'batas', 'kasih', 'link', 'ajar', 'youtube', 'akhir', 'kasih', 'tugas', 'anak', 'kasih', 'video', 'ajar', 'cepat', 'bosan']",-1
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap hari tag,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'hari', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'tag']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'tag']",-1
belajar daring untuk anak tk matugas adek sudah selesai sini mama cek sudah benar semua kan ma terlihat mama dengan semangat menghapus dan membetulkan jawaban anaknya yang salah sebelum menyetorkan ke bu guru via photo di whatsapp,"['belajar', 'daring', 'untuk', 'anak', 'tk', 'matugas', 'adek', 'sudah', 'selesai', 'sini', 'mama', 'cek', 'sudah', 'benar', 'semua', 'kan', 'ma', 'terlihat', 'mama', 'dengan', 'semangat', 'menghapus', 'dan', 'membetulkan', 'jawaban', 'anaknya', 'yang', 'salah', 'sebelum', 'menyetorkan', 'ke', 'bu', 'guru', 'via', 'photo', 'di', 'whatsapp']","['belajar', 'daring', 'untuk', 'anak', 'tk', 'matugas', 'adek', 'sudah', 'selesai', 'sini', 'ibu', 'cek', 'sudah', 'benar', 'semua', 'kan', 'ma', 'terlihat', 'ibu', 'dengan', 'semangat', 'menghapus', 'dan', 'membetulkan', 'jawaban', 'anaknya', 'yang', 'salah', 'sebelum', 'menyetorkan', 'ke', 'bu', 'guru', 'melalui', 'photo', 'di', 'whatsapp']","['anak', 'tk', 'matugas', 'adek', 'selesai', 'cek', 'ma', 'semangat', 'menghapus', 'membetulkan', 'anaknya', 'salah', 'menyetorkan', 'bu', 'guru', 'photo', 'whatsapp']","['anak', 'tk', 'matugas', 'adek', 'selesai', 'cek', 'ma', 'semangat', 'hapus', 'betul', 'anak', 'salah', 'setor', 'bu', 'guru', 'photo', 'whatsapp']",1
emang deh belajar daring sambil diceritain emang bikin ngantuk banget apalagi ceritanya tentang sel dll,"['emang', 'deh', 'belajar', 'daring', 'sambil', 'diceritain', 'emang', 'bikin', 'ngantuk', 'banget', 'apalagi', 'ceritanya', 'tentang', 'sel', 'dll']","['memang', 'deh', 'belajar', 'daring', 'sambil', 'diceritain', 'memang', 'membuat', 'ngantuk', 'sekali', 'apalagi', 'ceritanya', 'tentang', 'sel', 'dan lain lain']","['deh', 'diceritain', 'ngantuk', 'ceritanya', 'sel', 'dan lain lain']","['deh', 'diceritain', 'ngantuk', 'cerita', 'sel', 'dan lain lain']",1
setelah setahun lebih akhirnya hari ini kuliah pake seragam wkwk meskipun daring wkwk ya okelah wkwk pake sepatu di kamar biar berasa kuliah offline wkwk,"['setelah', 'setahun', 'lebih', 'akhirnya', 'hari', 'ini', 'kuliah', 'pake', 'seragam', 'wkwk', 'meskipun', 'daring', 'wkwk', 'ya', 'okelah', 'wkwk', 'pake', 'sepatu', 'di', 'kamar', 'biar', 'berasa', 'kuliah', 'offline', 'wkwk']","['setelah', 'setahun', 'lebih', 'akhirnya', 'hari', 'ini', 'kuliah', 'pakai', 'seragam', 'tertawa', 'meskipun', 'daring', 'tertawa', 'iya', 'okelah', 'tertawa', 'pakai', 'sepatu', 'di', 'kamar', 'biar', 'berasa', 'kuliah', 'offline', 'tertawa']","['setahun', 'pakai', 'seragam', 'tertawa', 'tertawa', 'okelah', 'tertawa', 'pakai', 'sepatu', 'kamar', 'biar', 'berasa', 'offline', 'tertawa']","['tahun', 'pakai', 'seragam', 'tertawa', 'tertawa', 'oke', 'tertawa', 'pakai', 'sepatu', 'kamar', 'biar', 'asa', 'offline', 'tertawa']",1
bismillah hp buat adekku sekolah daring samsung tetap semangat giveaway samsung tetap semangat giveaway samsung tetap semangat giveaway samsung tetap semangat giveaway bismillah,"['bismillah', 'hp', 'buat', 'adekku', 'sekolah', 'daring', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'bismillah']","['bismillah', 'hp', 'buat', 'adekku', 'sekolah', 'daring', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'samsung', 'tetap', 'semangat', 'giveaway', 'bismillah']","['bismillah', 'hp', 'adekku', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'bismillah']","['bismillah', 'hp', 'adekku', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'samsung', 'semangat', 'giveaway', 'bismillah']",1
jadinya sering banget bingung ditambah pandemi penghasilan orang tuaku makin menipis kak belum lagi ibuku berjuang sendirian terus sekolah daring ini bikin aku jadi susah memahami materi aku lebih suka dijelasin gitu kak padahal taun depan aku pengen jadi maba fk ttapi,"['jadinya', 'sering', 'banget', 'bingung', 'ditambah', 'pandemi', 'penghasilan', 'orang', 'tuaku', 'makin', 'menipis', 'kak', 'belum', 'lagi', 'ibuku', 'berjuang', 'sendirian', 'terus', 'sekolah', 'daring', 'ini', 'bikin', 'aku', 'jadi', 'susah', 'memahami', 'materi', 'aku', 'lebih', 'suka', 'dijelasin', 'gitu', 'kak', 'padahal', 'taun', 'depan', 'aku', 'pengen', 'jadi', 'maba', 'fk', 'ttapi']","['jadinya', 'sering', 'sekali', 'bingung', 'ditambah', 'pandemi', 'penghasilan', 'orang', 'tuaku', 'makin', 'menipis', 'kak', 'belum', 'lagi', 'ibuku', 'berjuang', 'sendirian', 'terus', 'sekolah', 'daring', 'ini', 'membuat', 'aku', 'jadi', 'susah', 'memahami', 'materi', 'aku', 'lebih', 'suka', 'dijelasin', 'begitu', 'kak', 'padahal', 'tahun', 'depan', 'aku', 'ingin', 'jadi', 'mahasiswa baru', 'fk', 'tetapi']","['bingung', 'ditambah', 'pandemi', 'penghasilan', 'orang', 'tuaku', 'menipis', 'kak', 'ibuku', 'berjuang', 'susah', 'memahami', 'materi', 'suka', 'dijelasin', 'kak', 'mahasiswa baru', 'fk']","['bingung', 'tambah', 'pandemi', 'hasil', 'orang', 'tua', 'tip', 'kak', 'ibu', 'juang', 'susah', 'paham', 'materi', 'suka', 'dijelasin', 'kak', 'mahasiswa baru', 'fk']",-1
dulu main mobile legend di troll myanmar sekarang di troll negara sendiri sama bocil bocil korban daring sekolah,"['dulu', 'main', 'mobile', 'legend', 'di', 'troll', 'myanmar', 'sekarang', 'di', 'troll', 'negara', 'sendiri', 'sama', 'bocil', 'bocil', 'korban', 'daring', 'sekolah']","['dulu', 'main', 'mobile', 'legend', 'di', 'troll', 'myanmar', 'sekarang', 'di', 'troll', 'negara', 'sendiri', 'sama', 'anak kecil', 'anak kecil', 'korban', 'daring', 'sekolah']","['main', 'mobile', 'legend', 'troll', 'myanmar', 'troll', 'negara', 'anak kecil', 'anak kecil', 'korban']","['main', 'mobile', 'legend', 'troll', 'myanmar', 'troll', 'negara', 'anak kecil', 'anak kecil', 'korban']",1
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap hari bismillah ya allah,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'hari', 'bismillah', 'ya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'bismillah', 'iya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']",-1
abis daring disuruh ke sekolah ambil raport males bgt ga ambil gpp kali ya,"['abis', 'daring', 'disuruh', 'ke', 'sekolah', 'ambil', 'raport', 'males', 'bgt', 'ga', 'ambil', 'gpp', 'kali', 'ya']","['habis', 'daring', 'disuruh', 'ke', 'sekolah', 'ambil', 'raport', 'malas', 'sekali', 'tidak', 'ambil', 'tidak apa apa', 'kali', 'iya']","['habis', 'disuruh', 'ambil', 'raport', 'malas', 'ambil', 'tidak apa apa', 'kali']","['habis', 'suruh', 'ambil', 'raport', 'malas', 'ambil', 'tidak apa apa', 'kali']",-1
